"","x"
"1",72
"2",73
"3",60
"4",63
"5",61
"6",72
"7",70
"8",66
"9",71
"10",81
"11",66
"12",59
"13",72
"14",70
"15",66
"16",76
"17",80
"18",59
"19",76
"20",70
"21",72
"22",66
"23",63
"24",74
"25",64
"26",66
"27",63
"28",65
"29",66
"30",68
"31",66
"32",69
"33",69
"34",68
"35",82
"36",68
"37",74
"38",59
"39",60
"40",79
"41",54
"42",66
"43",62
"44",69
"45",73
"46",66
"47",71
"48",67
"49",58
"50",65
"51",70
"52",64
"53",68
"54",68
"55",72
"56",74
"57",74
"58",78
"59",67
"60",78
"61",66
"62",60
"63",68
"64",51
"65",68
"66",67
"67",59
"68",70
"69",72
"70",71
"71",59
"72",69
"73",66
"74",68
"75",75
"76",71
"77",70
"78",63
"79",72
"80",73
"81",67
"82",61
"83",68
"84",69
"85",72
"86",62
"87",59
"88",66
"89",79
"90",57
"91",61
"92",64
"93",64
"94",60
"95",69
"96",60
"97",70
"98",64
"99",71
"100",72
"101",76
"102",54
"103",72
"104",74
"105",71
"106",69
"107",65
"108",77
"109",72
"110",65
"111",75
"112",75
"113",68
"114",71
"115",60
"116",79
"117",82
"118",74
"119",68
"120",56
"121",65
"122",61
"123",69
"124",58
"125",67
"126",61
"127",63
"128",72
"129",63
"130",71
"131",68
"132",71
"133",65
"134",63
"135",66
"136",74
"137",76
"138",78
"139",67
"140",67
"141",76
"142",66
"143",73
"144",62
"145",63
"146",69
"147",72
"148",68
"149",74
"150",81
"151",66
"152",70
"153",78
"154",68
"155",62
"156",69
"157",61
"158",76
"159",73
"160",67
"161",54
"162",73
"163",62
"164",74
"165",63
"166",68
"167",68
"168",73
"169",56
"170",65
"171",64
"172",57
"173",71
"174",65
"175",79
"176",64
"177",63
"178",57
"179",76
"180",65
"181",71
"182",64
"183",68
"184",65
"185",55
"186",70
"187",70
"188",77
"189",65
"190",58
"191",67
"192",72
"193",65
"194",68
"195",65
"196",59
"197",61
"198",61
"199",69
"200",78
